Famous people,Fictional characters,Films,Objects,Books,"Games, sports and pastimes",TV Programmes,Geography,Animals,Food and Drink,Fictional Places
Marco Pierre White,The Wye Bird,The Hunchback Of Notre Dame,,,,,Macedonia,Mink,,
Marcus Brigstocke,Thin Red Fox,The Hunt For Red October,,,,,Machu Picchu,Minnow,,
Margaret Thatcher,Thomas Kent,The Importance Of Being Ernest,,,,,Mackenzie-Peace River,Minor Bird,,
Margot Fonteyn,Thomas O'Malley,The Interpreter,,,,,Madagascar,Mirror Carp,,
Marianne Faithful,Thomas The Tank Engine,The Invisible Man,,,,,Madame Tussauds,Mischief,,
Marilyn Monroe,Tiger-Lily,The Island,,,,,Madison Square Garden,Mob,,
Mark Lamarr,Timothy Tractor,The Italian Job,,,,,Madrid,Mocking Bird,,
Mark Morrison,Tina Sparkle,The Jungle Book,,,,,Magnetic Island,Mole,,
Mark Twain,Tinkerbell,The King and I,,,,,Maine,Mongoose,,
Mark Zuchaberger,Tinky-Winky,The Lady and the Highwayman,,,,,Majuro,Monitor,,
Marlene Dietrich,Tiny Tim,The Ladykillers,,,,,Malabo,Monkey,,
Marlon Brando,Tom Jones,The Land That Time Forgot,,,,,Malawi,Moose,,
Marquis De Sade,Tom Oakley,The Last Emperor,,,,,Malaysia,Mosquito,,
Marshal Matthers,Tour-guide Barbie,The Last Samurai,,,,,Maldives,Mouse,,
Martin Freeman,Treebeard,The Legend Of Cat Baloa,,,,,Male,Mouse ,,
Martin Luther King,Trigger,The Lion In Winter,,,,,Malham Cove,Mule,,
Martina Hinghis,Trinity,"The Lion, The Witch and the Wardrobe",,,,,Mali,Murder,,
Martina Navratilova,Tristran Thorn,The Long Goodbye,,,,,Malin,Murmuration,,
Mary Quant,Tweedledum,The Long Kiss Goodnight,,,,,Malta,Mussel,,
Mary Tudor,Tweetie Pie,The Lost World,,,,,Managua,Muster,,
Mary Whitehouse,Two-Face,The Magic Flute,,,,,Manama,Mustering,,
Matt Damon,Tybalt,The Magnificent Seven,,,,,Manchester,Mute,,
Matt Dillon,Vesper,The Man In The Iron Mask,,,,,Manchester ,Mute Swan,,
Matthew McFadeyen,Victor Meldrew,The Man Who Would Be King,,,,,Manhattan,Narwhal,,
Meg Ryan,Vivienne Ward,The Mask,,,,,Manila,Nest,,
Mel Brooks,Walt kowalski,The Matrix,,,,,Maputo,Newfoundland,,
Melanie Griffiths,Wanda,The Mayor Of Casterbridge,,,,,Marble Arch,Newt,,
Meryl Streep,Wendolene,The Mexican,,,,,Marshall Islands,Nide,,
Michael Aspel,Wendy,The Moneypit,,,,,Maryland,Nightingale,,
Michael Atherton,Wheezy,The Mummy,,,,,Maseru,Nightjar,,
Michael Ball,Wilbur,The Mummy Returns,,,,,Massachusetts,Northen Pike,,
Michael Barrymore,Will Mckenzie,The Muppet Christmas Carol,,,,,Mauritania,Nymph,,
